Term,Category
diarrhea,General Medical
estrogen,General Medical
fatigue,General Medical
fda,General Medical
gene,General Medical
genes,General Medical
genetic,General Medical
genomic,General Medical
glucose,General Medical
glycemic,General Medical
hemoglobin,General Medical
hormonal,General Medical
hormone,General Medical
hospice,General Medical
hypertension,General Medical
ibuprofen,General Medical
infection,General Medical
infectious,General Medical
inflammation,General Medical
inflammatory,General Medical
insulin,General Medical
intravenous,General Medical
lymph,General Medical
lymphatic,General Medical
lymphocyte,General Medical
medication,General Medical
medications,General Medical
mutation,General Medical
nausea,General Medical
oral,General Medical
palliative,General Medical
pathogen,General Medical
pharmaceutical,General Medical
platelet,General Medical
prescription,General Medical
prosthesis,General Medical
remission,General Medical
respiratory,General Medical
stent,General Medical
symptom,General Medical
symptoms,General Medical
testosterone,General Medical
therapeutic,General Medical
therapy,General Medical
topical,General Medical
treatment,General Medical
viral,General Medical
virus,General Medical
vomiting,General Medical
adjuvant,Vaccines & Immunization
allergic,Vaccines & Immunization
allergy,Vaccines & Immunization
anaphylactic,Vaccines & Immunization
anaphylaxis,Vaccines & Immunization
antibodies,Vaccines & Immunization
antibody,Vaccines & Immunization
antigen,Vaccines & Immunization
booster,Vaccines & Immunization
chickenpox,Vaccines & Immunization
conjugate,Vaccines & Immunization
coronavirus,Vaccines & Immunization
covid,Vaccines & Immunization
diphtheria,Vaccines & Immunization
dose,Vaccines & Immunization
doses,Vaccines & Immunization
fever,Vaccines & Immunization
flu,Vaccines & Immunization
guillain,Vaccines & Immunization
hepatitis,Vaccines & Immunization
hpv,Vaccines & Immunization
immune,Vaccines & Immunization
immunity,Vaccines & Immunization
immunization,Vaccines & Immunization
immunize,Vaccines & Immunization
immunized,Vaccines & Immunization
inactivated,Vaccines & Immunization
influenza,Vaccines & Immunization
injectable,Vaccines & Immunization
injection,Vaccines & Immunization
intradermal,Vaccines & Immunization
intramuscular,Vaccines & Immunization
measles,Vaccines & Immunization
meningitis,Vaccines & Immunization
meningococcal,Vaccines & Immunization
mmr,Vaccines & Immunization
mrna,Vaccines & Immunization
mumps,Vaccines & Immunization
papillomavirus,Vaccines & Immunization
pertussis,Vaccines & Immunization
pneumococcal,Vaccines & Immunization
pneumonia,Vaccines & Immunization
polio,Vaccines & Immunization
poliovirus,Vaccines & Immunization
recombinant,Vaccines & Immunization
rotavirus,Vaccines & Immunization
rubella,Vaccines & Immunization
sars,Vaccines & Immunization
seizure,Vaccines & Immunization
seizures,Vaccines & Immunization
shingles,Vaccines & Immunization
smallpox,Vaccines & Immunization
subcutaneous,Vaccines & Immunization
syringe,Vaccines & Immunization
tdap,Vaccines & Immunization
tetanus,Vaccines & Immunization
toxoid,Vaccines & Immunization
vaccinated,Vaccines & Immunization
vaccination,Vaccines & Immunization
vaccine,Vaccines & Immunization
vaccines,Vaccines & Immunization
varicella,Vaccines & Immunization
zoster,Vaccines & Immunization
